id,name,desc,gender,father,mother,spouse,img
1,清和天皇,56代天皇。武門の棟梁となる清和源氏の祖。,male,,,2,img/Emperor_Seiwa.jpg
2,棟貞王の娘,,female,,,1,
3,陽成天皇,清和天皇の第一皇子。,male,1,2,,
4,子2,,male,1,2,,
